original_tweet,sentiment_result
cara kerja vaksin sinovac ,2
jul tidak banyak perbezaan ditemui antara vaksin sinovac dan pfizer dalam penggunaan secara praktikal dg hisham ,3
pemerintah bersama tni polri terus berupaya untuk membantu masyarakat di tengah pandemi covid berbagai upaya terus dilakukan untuk menekan penyebaran covid di indonesia salah satu contoh kecil sepei diberikannya vaksinasi gratis untuk seluruh masyarakat indonesia guna m ,1
anjay udah vaksin,-3
id pemberitahuan talent kami airani iofifteen diketahui terpapar oleh virus covid kondisi iofi stabil bergejala ringan ,-1
kalangan epidemiolog dan pemantau pandemi menengarai pemerintah mengurangi jumlah pengetesan agar angka kasus harian covid ,-2.25
penceramah agama sebut covid konspirasi dan hoaks mufti ismail menk how can you ,1
tidak semua penyedia alat kesehatan tega ambil untung pada saat covid melonjak bahkan di pasar pramuka matraman jaka ,-5
kapolri jenderal polisi drs listyo sigit prabowo terjun langsung memberikan bantuan sosial ppkm darurat dari pemerintah untuk masyarakat yang terdampak covid di wilayah jawa tengah penerapan ppkm level,9
jokowi klaim kasus covid turun dr eva karena jumlah tes berkurang drastis persen ,5.25
